"0000""","0001""","0010""","0011""","0100""","0101""","0110""","0111""","1000""","1001""","1010""","1011""","1100""","1101""",1110,1111
0,0,1,0,0,0,0,0,1,0,7,0,1,0,0,2
0,0,0,0,0,0,0,0,4,4,3,1,0,0,0,0
3,4,6,0,3,2,21,5,62,116,41,19,1,5,7,25
1,0,2,0,0,4,0,1,7,2,41,0,0,0,0,2
0,0,1,0,0,1,0,0,10,2,43,0,0,0,1,2
0,8,2,1,3,10,3,2,6,12,18,0,2,8,1,13
0,3,1,3,2,3,1,0,12,17,21,8,3,1,2,12
4,4,0,0,2,0,4,0,16,10,14,6,0,0,0,0
0,0,0,1,0,1,0,0,5,3,11,0,1,0,0,3
0,1,1,0,0,0,0,3,4,4,9,3,0,0,0,0
0,0,1,0,0,1,1,0,12,2,14,0,0,0,0,9
0,7,0,0,0,0,0,0,2,24,0,0,0,2,0,1
0,0,0,0,0,0,1,0,1,32,0,0,0,0,0,1
0,3,0,0,0,0,1,0,0,22,4,0,0,0,0,0
10,6,20,3,7,11,1,1,96,11,106,4,5,1,1,17
5,4,29,4,8,18,6,0,87,22,91,11,6,1,1,28
13,7,20,4,11,13,4,1,104,12,113,1,6,2,0,11
5,9,11,9,13,11,7,8,112,36,49,6,11,1,1,11
9,11,28,4,10,20,4,2,95,16,109,5,4,2,1,15
16,21,33,4,5,2,2,0,134,12,49,7,7,1,3,4
11,8,17,4,4,17,1,2,92,10,111,4,5,0,2,12
12,9,42,5,14,4,0,0,126,7,59,16,1,0,1,5
10,10,35,5,11,16,4,2,99,12,105,3,8,1,1,14
8,21,12,2,10,2,12,2,76,124,10,7,4,2,0,8
12,19,20,7,16,7,42,3,79,42,37,14,10,1,12,20
8,40,11,7,26,64,11,1,54,29,53,7,9,3,2,24
6,18,43,6,7,22,6,2,92,20,99,2,7,2,0,19
9,20,12,3,15,9,20,0,110,111,15,1,6,0,4,8
9,11,21,6,17,19,43,6,74,40,49,10,12,0,6,16
9,34,17,7,22,56,8,1,39,34,55,5,8,1,1,11
14,8,10,1,9,43,9,7,88,22,90,0,15,0,2,8
12,18,19,3,17,24,25,1,84,76,42,3,10,1,2,11
5,18,20,8,17,13,20,2,62,36,71,1,12,0,5,10
8,25,22,2,19,56,16,1,53,33,70,5,13,2,2,19
199,347,457,99,268,449,273,53,2066,1227,1854,189,167,37,58,368
